<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
CC_HNX-INDEX,20231208,63055,1686256406800,458086244000,58098,142965800,162488900
CC_VNINDEX,20231207,37781,26378978104400,1061324895600,30213,85500800,105300000
CC_HNX-INDEX,20231207,120247,3690577282300,28740515000,82261,247457300,256912300
CC_VNINDEX,20231206,28205,15885987190960,2087728809040,30128,67185000,87541700
CC_HNX-INDEX,20231206,68071,2025156260900,89810800000,65168,156741400,171881200
CC_VNINDEX,20231205,27409,15510501656050,1567360343950,31233,66634000,93997800
CC_HNX-INDEX,20231205,67143,2024578315300,41448464000,65709,136030100,170361100
CC_VNINDEX,20231204,29629,22270630382150,1820376617850,35726,88915300,106543900
CC_HNX-INDEX,20231204,67957,2753810347900,100710422000,80262,180048100,201448200
CC_VNINDEX,20231201,24830,11334586279600,704911720400,25890,76389200,102032100
CC_HNX-INDEX,20231201,57282,0,0,48401,122099000,138540700
CC_VNINDEX,20231130,21925,13165552024920,1394160975080,26522,50717200,78690500
CC_HNX-INDEX,20231130,62934,1971495271100,48527961000,62523,144567300,174651700
CC_VNINDEX,20231129,22122,11523794954540,995883045460,25079,55989100,74375700
CC_HNX-INDEX,20231129,49845,1611422242900,74779046000,55947,122960100,145729400
CC_VNINDEX,20231128,24500,12050134811700,1932638188300,21410,54599100,62244500
CC_HNX-INDEX,20231128,54779,1414381411700,42401600000,35131,142297900,120962900
CC_VNINDEX,20231127,19596,9976300018950,1709815981050,21465,49875900,67355300
CC_HNX-INDEX,20231127,53412,1042134485500,77898900000,38799,95824700,115180000
CC_VNINDEX,20231124,35068,17778261487800,1419952512200,25338,91087500,104231200
CC_HNX-INDEX,20231124,88546,2242773930800,29973400000,56887,176037700,166819900
