<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,<OI>
NN_HNX-INDEX,20231108,8189100,124639016,364700,5831845,160473550000,104401861600
NN_VNINDEX,20231108,39165500,886291296,51885518,39463700,1035532669000,1304829717000
NN_VNINDEX,20231107,25832900,540407498,91823817,25954800,752812023000,739633553000
NN_HNX-INDEX,20231107,6361600,0,0,3371180,112378150000,59085784200
NN_HNX-INDEX,20231106,11748254,76203308,1915700,3908004,199081020600,62722155000
NN_VNINDEX,20231106,40958200,571437300,120068308,33819200,1188829512000,931700364000
NN_HNX-INDEX,20231103,3082400,91410974,2467580,3843988,76900610000,108796084000
NN_VNINDEX,20231103,48664600,709568793,44719538,46298100,1439178546000,1272397362000
NN_HNX-INDEX,20231102,11257750,116214718,10665765,1546361,198292485000,28740741500
NN_VNINDEX,20231102,39748000,736277498,35218340,44161900,1162669543000,1338904043000
NN_HNX-INDEX,20231101,15399800,95200830,3363039,1321053,220837150000,19801315300
NN_VNINDEX,20231101,57568600,604190197,74985018,35603300,1506914737000,1105297904000
NN_HNX-INDEX,20231031,4035860,102731340,7821920,2300000,99995888700,34363040000
NN_VNINDEX,20231031,60615300,706900261,47918759,37600800,1639491356000,1126305329000
NN_HNX-INDEX,20231030,1711073,64599266,15844728,1449246,36255027100,24707846800
NN_VNINDEX,20231030,26071400,470396938,62641314,20938500,762938268000,628830885000
NN_VNINDEX,20231027,31279900,638920128,53313704,44013000,962082431000,1287822669000
NN_HNX-INDEX,20231026,2780298,175496838,10456122,2554684,91002714600,39559027300
NN_VNINDEX,20231026,39934800,1129686333,46575373,50686400,1369329905000,1410121193000
NN_HNX-INDEX,20231025,567804,71975402,14345291,1881364,11250520800,36343899200
NN_VNINDEX,20231025,13275500,483430997,54812103,34076900,415286322000,945824271000
NN_HNX-INDEX,20231024,1231034,60868688,3665000,2183658,41711361600,36520495800
NN_VNINDEX,20231024,20262300,444069106,60481790,36215000,646318298000,1082398917000
NN_HNX-INDEX,20231023,939416,63585358,5654568,2215434,39665910000,40248247000
NN_VNINDEX,20231023,14914500,500481939,62036531,54935900,501867948000,1573454001000
NN_HNX-INDEX,20231020,1569583,92062157,5435973,523261,53605986700,19423857700
NN_VNINDEX,20231020,33100900,592521786,65671082,25740700,1044153578000,848789881000
NN_HNX-INDEX,20231019,657764,76368295,6808721,312695,21894382300,4903017300
NN_VNINDEX,20231019,39462700,615816621,31159234,28918600,1299528010000,1042343068000
NN_HNX-INDEX,20231018,1116691,128681255,1551111,1208500,39948743000,25553353300
NN_VNINDEX,20231018,40597600,932038934,95482401,21831300,1249839890000,694150558000
